id,交易筆棟數,建物現況格局-房,鄉鎮市區,電梯,建物型態,主要用途,總樓層數,主建物面積,有無管理組織
1,0,4,安樂區,無,公寓(5樓含以下無電梯),住家用,5,85.34,有
2,1,0,暖暖區,有,住宅大樓(11層含以上有電梯),商業用,12,184.71,有
3,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,6,139.25,無
4,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,82.98,無
5,0,1,安樂區,無,公寓(5樓含以下無電梯),住家用,5,22.77,無
6,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,63.53,無
7,1,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,93.86,有
8,1,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,17,80.35,有
9,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,4,79.46,無
10,0,4,安樂區,有,住宅大樓(11層含以上有電梯),住家用,14,104.12,有
11,1,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,11,77.78,有
12,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,73.84,無
13,0,0,中正區,有,住宅大樓(11層含以上有電梯),住家用,23,18.52,有
14,1,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,13,68.43,有
15,0,0,中正區,有,住宅大樓(11層含以上有電梯),住家用,23,19.72,有
16,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,69.95,無
17,0,1,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,25.96,有
18,0,2,信義區,有,華廈(10層含以下有電梯),住家用,9,56.19,有
19,0,1,信義區,有,住宅大樓(11層含以上有電梯),住家用,16,26.8,有
20,0,5,中正區,無,透天厝,住家用,2,55.76,無
21,0,2,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,15,41.07,有
22,0,0,中正區,無,透天厝,住家用,2,82.36,無
23,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,4,114.89,無
24,0,3,暖暖區,有,華廈(10層含以下有電梯),住家用,6,80.88,有
25,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,4,65.52,無
26,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,100.94,無
27,1,4,安樂區,有,住宅大樓(11層含以上有電梯),住家用,11,61.15,有
28,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,5,66.36,無
29,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,66.92,無
30,0,2,信義區,無,公寓(5樓含以下無電梯),住家用,5,52.4,無
31,0,3,暖暖區,有,華廈(10層含以下有電梯),住家用,9,56.95,有
32,0,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,15,100.64,有
33,1,4,安樂區,有,住宅大樓(11層含以上有電梯),住家用,11,61.15,有
34,1,5,安樂區,無,透天厝,住家用,5,318.84,無
35,0,1,暖暖區,有,華廈(10層含以下有電梯),住家用,9,27.69,有
36,0,0,安樂區,有,住宅大樓(11層含以上有電梯),商業用,13,79.54,有
37,0,4,安樂區,無,透天厝,住家用,2,25.35,無
38,1,4,七堵區,有,住宅大樓(11層含以上有電梯),住家用,16,113.88,有
39,0,1,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,38.75,無
40,0,4,中山區,無,透天厝,住家用,3,95.39,有
41,1,3,信義區,有,華廈(10層含以下有電梯),住家用,7,92.35,有
42,0,2,中正區,有,住宅大樓(11層含以上有電梯),住家用,16,58.11,有
43,1,3,中山區,有,華廈(10層含以下有電梯),住家用,8,78.68,有
44,0,1,中正區,無,透天厝,住家用,2,17.9,無
45,0,4,仁愛區,無,透天厝,住家用,2,67.5,無
46,0,2,暖暖區,有,華廈(10層含以下有電梯),住家用,6,44.78,有
47,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,4,79.78,無
48,1,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,14,100.52,有
49,0,2,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,55.61,有
50,0,1,七堵區,有,住宅大樓(11層含以上有電梯),商業用,13,30.33,有
51,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,81,無
52,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,81.94,有
53,1,3,七堵區,有,住宅大樓(11層含以上有電梯),住家用,11,22.04,有
54,0,2,中山區,無,公寓(5樓含以下無電梯),住家用,5,65.52,有
55,1,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,14,88.79,有
56,0,2,信義區,有,華廈(10層含以下有電梯),住家用,7,64.59,有
57,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,87.53,無
58,0,0,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,72.05,無
59,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,81.12,有
60,0,0,仁愛區,無,透天厝,住家用,2,161.84,無
61,0,1,暖暖區,有,華廈(10層含以下有電梯),住家用,9,38.79,有
62,0,0,安樂區,無,公寓(5樓含以下無電梯),住家用,5,42.24,無
63,0,2,安樂區,無,公寓(5樓含以下無電梯),住家用,4,69.95,無
64,1,3,信義區,有,華廈(10層含以下有電梯),住家用,6,95.52,有
65,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,107.71,無
66,0,0,安樂區,有,住宅大樓(11層含以上有電梯),商業用,13,55.68,有
67,0,3,七堵區,無,公寓(5樓含以下無電梯),住家用,5,110.91,無
68,0,3,信義區,有,華廈(10層含以下有電梯),住家用,7,103.09,有
69,0,3,信義區,有,華廈(10層含以下有電梯),住家用,7,103.09,有
70,0,2,安樂區,無,公寓(5樓含以下無電梯),住家用,4,69.3,無
71,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,75.99,無
72,0,2,中山區,無,公寓(5樓含以下無電梯),住家用,5,77.42,無
73,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,5,79.39,無
74,0,2,信義區,無,公寓(5樓含以下無電梯),住家用,5,65.39,無
75,0,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,18,63.01,有
76,1,3,暖暖區,有,華廈(10層含以下有電梯),住家用,9,54.12,有
77,0,4,信義區,無,透天厝,住家用,2,93.94,無
78,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,4,80.66,無
79,0,1,中正區,有,住宅大樓(11層含以上有電梯),住家用,18,42.35,有
80,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,75.26,無
81,0,2,中山區,無,公寓(5樓含以下無電梯),其他,5,65.58,無
82,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,95.13,無
83,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,4,60.78,無
84,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,10,84.9,有
85,0,1,中正區,有,住宅大樓(11層含以上有電梯),住家用,23,21.22,有
86,0,2,中正區,有,華廈(10層含以下有電梯),住家用,8,62.01,有
87,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,5,66.39,無
88,0,0,七堵區,有,華廈(10層含以下有電梯),工業用,6,448.58,無
89,1,3,信義區,有,華廈(10層含以下有電梯),住家用,9,121.23,有
90,0,3,中山區,無,透天厝,住商用,4,126.43,無
91,1,2,中正區,有,住宅大樓(11層含以上有電梯),住家用,14,63.21,有
92,0,4,暖暖區,無,透天厝,住家用,2,76.76,無
93,1,2,中正區,有,住宅大樓(11層含以上有電梯),住家用,14,62.06,有
94,0,2,信義區,無,公寓(5樓含以下無電梯),住家用,4,56.82,無
95,0,3,信義區,無,公寓(5樓含以下無電梯),其他,5,121.04,無
96,0,4,信義區,無,公寓(5樓含以下無電梯),住家用,5,114.67,無
97,1,2,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,17,71.6,有
98,0,4,中正區,無,透天厝,住家用,1,10.15,無
99,1,3,七堵區,有,住宅大樓(11層含以上有電梯),住家用,13,78.32,有
100,1,3,信義區,有,華廈(10層含以下有電梯),住家用,10,55.42,有
101,0,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,13,58.15,有
102,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,76,無
103,0,4,中正區,無,公寓(5樓含以下無電梯),住家用,5,99.47,無
104,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,86.22,無
105,0,3,信義區,有,華廈(10層含以下有電梯),住家用,10,82.23,有
106,1,3,七堵區,有,住宅大樓(11層含以上有電梯),住家用,15,60.67,有
107,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,56.86,無
108,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,8,106.14,有
109,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,89.94,無
110,1,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,119.51,有
111,1,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,113.85,有
112,1,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,114.01,有
113,2,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,113.76,有
114,0,2,安樂區,有,住宅大樓(11層含以上有電梯),住家用,22,38.99,有
115,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,2,78.68,無
116,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,77.72,無
117,1,4,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,97.77,有
118,0,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,11,66.96,有
119,0,1,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,48.19,無
120,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,88.78,無
121,1,3,仁愛區,有,華廈(10層含以下有電梯),住家用,5,83.12,有
122,0,3,信義區,有,華廈(10層含以下有電梯),住家用,7,81.1,有
123,0,3,中山區,無,公寓(5樓含以下無電梯),住家用,5,101.73,無
124,0,2,安樂區,無,公寓(5樓含以下無電梯),住家用,4,73.38,無
125,1,0,暖暖區,有,住宅大樓(11層含以上有電梯),商業用,12,155.68,有
126,0,4,七堵區,無,公寓(5樓含以下無電梯),住家用,4,80.24,無
127,0,3,七堵區,無,公寓(5樓含以下無電梯),住家用,5,80.42,無
128,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,91,無
129,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,82.82,無
130,1,4,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,109.34,有
131,1,2,中正區,有,住宅大樓(11層含以上有電梯),住家用,15,50.71,有
132,1,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,105.08,有
133,1,3,七堵區,有,華廈(10層含以下有電梯),住家用,5,79.35,有
134,1,4,安樂區,無,透天厝,住家用,5,250.21,有
135,0,4,安樂區,無,公寓(5樓含以下無電梯),住家用,5,113.5,無
136,0,2,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,68.42,無
137,0,1,信義區,無,公寓(5樓含以下無電梯),住家用,5,36.3,無
138,0,2,中正區,有,華廈(10層含以下有電梯),住家用,9,58.55,有
139,0,0,仁愛區,無,透天厝,住商用,4,366.38,無
140,1,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,23,68.63,有
141,0,1,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,92.18,無
142,2,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,124.93,有
143,2,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,113.76,有
144,2,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,123.65,有
145,0,6,仁愛區,無,透天厝,住商用,4,70,無
146,0,3,信義區,有,華廈(10層含以下有電梯),住家用,7,74.58,有
147,1,0,七堵區,有,住宅大樓(11層含以上有電梯),住商用,11,49.74,無
148,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,5,97.94,無
149,0,4,安樂區,無,透天厝,住家用,2,176.64,無
150,1,0,七堵區,有,其他,一般事務所,11,0,有
151,0,3,七堵區,無,公寓(5樓含以下無電梯),住家用,5,103.18,無
152,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,81.63,有
153,0,2,仁愛區,無,透天厝,住家用,1,35.34,無
154,0,2,暖暖區,有,華廈(10層含以下有電梯),住家用,6,61.2,有
155,0,2,中山區,無,公寓(5樓含以下無電梯),住家用,6,46.99,無
156,1,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,17,62.25,有
157,0,2,安樂區,無,公寓(5樓含以下無電梯),住家用,3,50.91,無
158,0,1,中正區,有,住宅大樓(11層含以上有電梯),住家用,16,50.71,有
159,1,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,12,88.39,有
160,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,76.31,無
161,0,4,中正區,無,公寓(5樓含以下無電梯),住家用,4,67.35,無
162,1,0,暖暖區,有,華廈(10層含以下有電梯),商業用,7,53.94,有
163,0,3,七堵區,無,公寓(5樓含以下無電梯),住家用,5,107.01,無
164,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,61.59,無
165,0,3,中山區,無,公寓(5樓含以下無電梯),住家用,5,85.86,無
166,0,2,安樂區,有,華廈(10層含以下有電梯),住家用,9,45.03,有
167,0,3,中山區,無,公寓(5樓含以下無電梯),住家用,5,63.57,無
168,0,0,安樂區,無,公寓(5樓含以下無電梯),住家用,5,54.35,有
169,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,95.99,無
170,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,81.51,無
171,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,68.99,無
172,0,1,安樂區,有,華廈(10層含以下有電梯),住家用,7,20.87,有
173,1,3,中山區,有,華廈(10層含以下有電梯),住家用,6,100.61,無
174,0,3,中正區,有,華廈(10層含以下有電梯),住家用,8,53.1,有
175,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,55,無
176,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,85.34,無
177,0,2,中山區,無,透天厝,住家用,2,65.54,無
178,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,100.86,無
179,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,63.23,無
180,0,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,97.57,有
181,0,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,18,84.45,有
182,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,73.65,無
183,0,2,中山區,無,公寓(5樓含以下無電梯),住家用,4,55.01,無
184,1,2,安樂區,有,住宅大樓(11層含以上有電梯),住家用,22,36.86,有
185,0,2,暖暖區,有,華廈(10層含以下有電梯),住家用,6,50.64,有
186,0,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,14,84.5,有
187,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,68.25,無
188,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,33.64,無
189,0,0,暖暖區,無,公寓(5樓含以下無電梯),住家用,5,97.7,無
190,0,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,12,95.46,有
191,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,79.13,無
192,1,0,中正區,有,華廈(10層含以下有電梯),辦公用,10,59.56,有
193,0,3,中山區,無,公寓(5樓含以下無電梯),住商用,5,74.22,無
194,1,2,暖暖區,有,華廈(10層含以下有電梯),住家用,5,126.15,無
195,1,1,中正區,有,住宅大樓(11層含以上有電梯),住家用,18,39.82,有
196,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,4,59.46,無
197,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,89.09,無
198,1,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,16,80.75,有
199,0,5,七堵區,無,公寓(5樓含以下無電梯),住家用,4,77.7,無
200,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,5,71.93,無
201,0,2,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,69.45,無
202,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,89.56,有
203,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,76.23,有
204,0,1,中正區,有,住宅大樓(11層含以上有電梯),住家用,18,25.26,有
205,0,2,安樂區,有,華廈(10層含以下有電梯),商業用,7,82.63,無
206,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,42.37,無
207,1,2,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,11,52.91,有
208,0,0,中正區,無,透天厝,辦公用,3,139.64,無
209,0,0,中正區,無,透天厝,辦公用,3,148.56,無
210,0,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,80.61,有
211,0,3,七堵區,無,公寓(5樓含以下無電梯),住家用,5,96.46,無
212,0,4,信義區,無,透天厝,住家用,2,98.47,有
213,0,1,中正區,無,公寓(5樓含以下無電梯),住家用,4,35.09,無
214,1,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,25,77.53,有
215,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,82.97,有
216,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,61.9,無
217,0,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,22,77.16,有
218,0,0,暖暖區,有,華廈(10層含以下有電梯),商業用,5,74.02,有
219,0,2,安樂區,無,公寓(5樓含以下無電梯),住家用,5,61.77,無
220,1,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,12,79.78,有
221,1,3,仁愛區,有,住宅大樓(11層含以上有電梯),住家用,14,97.6,有
222,1,4,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,11,118.6,有
223,1,2,中正區,有,華廈(10層含以下有電梯),住家用,9,61,有
224,0,1,中正區,無,公寓(5樓含以下無電梯),住家用,4,37.92,無
225,2,3,信義區,有,住宅大樓(11層含以上有電梯),住家用,15,124.03,有
226,1,3,七堵區,有,華廈(10層含以下有電梯),住家用,10,89.25,有
227,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,5,115.48,無
228,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,83.64,無
229,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,84.51,有
230,0,3,中正區,無,公寓(5樓含以下無電梯),商業用,4,107.87,無
231,1,2,信義區,有,華廈(10層含以下有電梯),住家用,7,79.14,有
232,0,0,中正區,無,公寓(5樓含以下無電梯),住家用,4,29.52,無
233,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,5,66.36,無
234,0,1,中正區,有,華廈(10層含以下有電梯),住家用,6,33.6,有
235,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,6,122.22,有
236,0,0,仁愛區,無,公寓(5樓含以下無電梯),辦公用,5,92.22,無
237,0,4,安樂區,無,公寓(5樓含以下無電梯),住家用,5,95.31,無
238,1,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,15,80.69,有
239,0,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,17,80.35,有
240,0,2,七堵區,無,透天厝,住家用,1,35.7,無
241,0,4,安樂區,有,華廈(10層含以下有電梯),住家用,7,104.54,有
242,0,2,安樂區,無,公寓(5樓含以下無電梯),住家用,5,54.09,有
243,1,4,信義區,有,透天厝,住家用,4,219.84,有
244,0,0,中正區,無,公寓(5樓含以下無電梯),住家用,4,29.52,無
245,0,7,信義區,無,透天厝,住家用,3,256.53,無
246,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,80.32,有
247,0,2,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,12,47.46,有
248,0,1,中正區,有,住宅大樓(11層含以上有電梯),住家用,14,37.96,有
249,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,8,87.52,有
250,0,3,中山區,無,公寓(5樓含以下無電梯),住家用,5,91.5,無
251,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,75.31,無
252,0,1,仁愛區,有,住宅大樓(11層含以上有電梯),住家用,31,32.76,有
253,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,3,72.29,無
254,1,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,25,77.53,有
255,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,77.7,無
256,1,3,安樂區,有,住宅大樓(11層含以上有電梯),住家用,13,74.98,有
257,0,4,安樂區,有,華廈(10層含以下有電梯),住家用,7,104.42,有
258,1,2,七堵區,有,住宅大樓(11層含以上有電梯),住家用,12,84.45,有
259,0,2,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,50.83,無
260,1,3,暖暖區,有,華廈(10層含以下有電梯),住家用,10,79.19,有
261,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,109.94,無
262,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,5,111.33,無
263,0,3,仁愛區,無,公寓(5樓含以下無電梯),住商用,4,154.44,無
264,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,61.41,有
265,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,81.95,無
266,0,2,中正區,無,公寓(5樓含以下無電梯),住家用,4,48.51,無
267,0,5,仁愛區,無,透天厝,住家用,2,80.1,無
268,1,2,安樂區,有,華廈(10層含以下有電梯),住家用,5,45.68,有
269,1,2,中正區,有,住宅大樓(11層含以上有電梯),住家用,15,50.92,有
270,0,4,信義區,無,透天厝,住商用,3,167.58,無
271,1,3,安樂區,有,華廈(10層含以下有電梯),住家用,5,65.36,有
272,1,3,安樂區,有,華廈(10層含以下有電梯),住家用,5,65.36,有
273,0,4,安樂區,無,公寓(5樓含以下無電梯),住家用,5,91.48,有
274,0,3,暖暖區,有,華廈(10層含以下有電梯),住家用,7,77.8,無
275,0,4,七堵區,有,住宅大樓(11層含以上有電梯),住家用,11,110.37,有
276,1,3,安樂區,有,華廈(10層含以下有電梯),住家用,5,65.36,有
277,0,0,仁愛區,無,透天厝,住家用,2,60.86,無
278,0,2,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,60.21,無
279,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
280,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
281,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
282,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
283,1,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,15,151.23,有
284,1,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,15,151.23,有
285,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
286,1,4,仁愛區,有,住宅大樓(11層含以上有電梯),住家用,31,122.21,有
287,0,0,中正區,有,住宅大樓(11層含以上有電梯),商業用,14,346.15,有
288,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
289,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
290,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
291,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
292,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.71,有
293,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
294,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
295,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,78.06,有
296,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66,有
297,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
298,1,0,中山區,有,住宅大樓(11層含以上有電梯),商業用,14,141.95,有
299,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.51,有
300,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,47.02,有
301,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
302,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66,有
303,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.92,有
304,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
305,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
306,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.8,有
307,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.8,有
308,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
309,0,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
310,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
311,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,78.06,有
312,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,78.06,有
313,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.92,有
314,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
315,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
316,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
317,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66.9,有
318,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,46.86,有
319,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.27,有
320,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
321,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.92,有
322,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
323,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
324,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
325,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,46.4,有
